,Tweets,step01,tokens,final_tokens,step02
24,"Sengitnya pertarungan di Ligue 1 akhir pekan ini 💥
.
⚽ Lorient 2-1 Lille
10 pemain Les Merlus kalahkan Les Dogues 🔥… https://t.co/2s2UZfSUEb",sengitnya pertarungan di ligue   akhir pekan ini lorient     lille   pemain les merlus kalahkan les dogues cosuzfsueb,"['sengitnya', 'pertarungan', 'di', 'ligue', 'akhir', 'pekan', 'ini', 'lorient', 'lille', 'pemain', 'les', 'merlus', 'kalahkan', 'les', 'dogues', 'cosuzfsueb']","['sengitnya', 'pertarungan', 'di', 'ligue', 'akhir', 'pekan', 'ini', 'lorient', 'lille', 'pemain', 'les', 'merlus', 'kalahkan', 'les', 'dogues', 'cosuzfsueb']",sengitnya pertarungan di ligue akhir pekan ini lorient lille pemain les merlus kalahkan les dogues cosuzfsueb
25,"⚽ Sassuolo 5-0 Salernitana
I Granata jadi korban keganasan Neroverdi ❌

⚽ Sampdoria 0-3 Monza
Habisi La Samp, Monza… https://t.co/RsqW4JFlrl",sassuolo     salernitana granata jadi korban keganasan neroverdi sampdoria     monza habisi la samp monza corsqwjflrl,"['sassuolo', 'salernitana', 'granata', 'jadi', 'korban', 'keganasan', 'neroverdi', 'sampdoria', 'monza', 'habisi', 'la', 'samp', 'monza', 'corsqwjflrl']","['sassuolo', 'salernitana', 'granata', 'jadi', 'korban', 'keganasan', 'neroverdi', 'sampdoria', 'monza', 'habisi', 'la', 'samp', 'monza', 'corsqwjflrl']",sassuolo salernitana granata jadi korban keganasan neroverdi sampdoria monza habisi la samp monza corsqwjflrl
26,"Skor-skor besar dihidangkan Serie A semalam 🥘
.
⚽ Juventus 3-0 Bologna
Menang besar, Si Nyonya Tua bangkit? 👊

⚽ At… https://t.co/7KBFtoLnk0",skor skor besar dihidangkan serie semalam juventus     bologna menang besar si nyonya tua bangkit at cokbftolnk,"['skor', 'skor', 'besar', 'dihidangkan', 'serie', 'semalam', 'juventus', 'bologna', 'menang', 'besar', 'si', 'nyonya', 'tua', 'bangkit', 'at', 'cokbftolnk']","['skor', 'skor', 'besar', 'dihidangkan', 'serie', 'semalam', 'juventus', 'bologna', 'menang', 'besar', 'si', 'nyonya', 'tua', 'bangkit', 'at', 'cokbftolnk']",skor skor besar dihidangkan serie semalam juventus bologna menang besar si nyonya tua bangkit at cokbftolnk
27,"⚽ Girona 3-5 Real Sociedad
Comeback gila La Real dalam drama 8 GOL 🔥

⚽ Espanyol 2-2 Valencia
Drama menit akhir, Lo… https://t.co/S76mJzIsKs",girona     real sociedad comeback gila la real dalam drama   gol espanyol     valencia drama menit akhir lo cosmjzisks,"['girona', 'real', 'sociedad', 'comeback', 'gila', 'la', 'real', 'dalam', 'drama', 'gol', 'espanyol', 'valencia', 'drama', 'menit', 'akhir', 'lo', 'cosmjzisks']","['girona', 'real', 'sociedad', 'comeback', 'gila', 'la', 'real', 'dalam', 'drama', 'gol', 'espanyol', 'valencia', 'drama', 'menit', 'akhir', 'lo', 'cosmjzisks']",girona real sociedad comeback gila la real dalam drama gol espanyol valencia drama menit akhir lo cosmjzisks
28,"Hasil keseruan LaLiga pada Minggu malam 🌛
.
⚽ Real Madrid 1-1 Osasuna
Rentetan kemenangan Los Blancos terhenti 🛑

⚽… https://t.co/yihTiAddsb",hasil keseruan laliga pada minggu malam real madrid     osasuna rentetan kemenangan los blancos terhenti coyihtiaddsb,"['hasil', 'keseruan', 'laliga', 'pada', 'minggu', 'malam', 'real', 'madrid', 'osasuna', 'rentetan', 'kemenangan', 'los', 'blancos', 'terhenti', 'coyihtiaddsb']","['hasil', 'keseruan', 'laliga', 'pada', 'minggu', 'malam', 'real', 'madrid', 'osasuna', 'rentetan', 'kemenangan', 'los', 'blancos', 'terhenti', 'coyihtiaddsb']",hasil keseruan laliga pada minggu malam real madrid osasuna rentetan kemenangan los blancos terhenti coyihtiaddsb
29,"Di pekan ke-8 @SerieA_ID 💎 
@Atalanta_BC kembali memetik kemenangan setelah kalahkan Fiorentina 1-0, melalui gol tu… https://t.co/mtbrr5SKjJ",di pekan ke   seriea_id atalanta_bc kembali memetik kemenangan setelah kalahkan fiorentina     melalui gol tu comtbrrskjj,"['di', 'pekan', 'ke', 'seriea_id', 'atalanta_bc', 'kembali', 'memetik', 'kemenangan', 'setelah', 'kalahkan', 'fiorentina', 'melalui', 'gol', 'tu', 'comtbrrskjj']","['di', 'pekan', 'ke', 'seriea_id', 'atalanta_bc', 'kembali', 'memetik', 'kemenangan', 'setelah', 'kalahkan', 'fiorentina', 'melalui', 'gol', 'tu', 'comtbrrskjj']",di pekan ke seriea_id atalanta_bc kembali memetik kemenangan setelah kalahkan fiorentina melalui gol tu comtbrrskjj
30,Juventus akhirnya kembali ke jalur kemenangan! Rentetan hasil buruk Bianconeri berakhir setelah jeda internasional.… https://t.co/oumfRgGgOq,juventus akhirnya kembali ke jalur kemenangan rentetan hasil buruk bianconeri berakhir setelah jeda internasional cooumfrgggoq,"['juventus', 'akhirnya', 'kembali', 'ke', 'jalur', 'kemenangan', 'rentetan', 'hasil', 'buruk', 'bianconeri', 'berakhir', 'setelah', 'jeda', 'internasional', 'cooumfrgggoq']","['juventus', 'akhirnya', 'kembali', 'ke', 'jalur', 'kemenangan', 'rentetan', 'hasil', 'buruk', 'bianconeri', 'berakhir', 'setelah', 'jeda', 'internasional', 'cooumfrgggoq']",juventus akhirnya kembali ke jalur kemenangan rentetan hasil buruk bianconeri berakhir setelah jeda internasional cooumfrgggoq
31,Real Madrid kehilangan puncak klasemen ke tangan Barca! Vini Jr sempat bawa El Real unggul duluan namun Osasuna mem… https://t.co/fd6ZVanVj0,real madrid kehilangan puncak klasemen ke tangan barca vini jr sempat bawa el real unggul duluan namun osasuna mem cofdzvanvj,"['real', 'madrid', 'kehilangan', 'puncak', 'klasemen', 'ke', 'tangan', 'barca', 'vini', 'jr', 'sempat', 'bawa', 'el', 'real', 'unggul', 'duluan', 'namun', 'osasuna', 'mem', 'cofdzvanvj']","['real', 'madrid', 'kehilangan', 'puncak', 'klasemen', 'ke', 'tangan', 'barca', 'vini', 'jr', 'sempat', 'bawa', 'el', 'real', 'unggul', 'duluan', 'namun', 'osasuna', 'mem', 'cofdzvanvj']",real madrid kehilangan puncak klasemen ke tangan barca vini jr sempat bawa el real unggul duluan namun osasuna mem cofdzvanvj
32,"Juve kembali ke jalur KEMENANGAN sementara Madrid KEHILANGAN puncak klasemen ! ⚡

Duet Arek Milik x Vlahovic tampil… https://t.co/la43h5vl0H",juve kembali ke jalur kemenangan sementara madrid kehilangan puncak klasemen duet arek milik vlahovic tampil colahvlh,"['juve', 'kembali', 'ke', 'jalur', 'kemenangan', 'sementara', 'madrid', 'kehilangan', 'puncak', 'klasemen', 'duet', 'arek', 'milik', 'vlahovic', 'tampil', 'colahvlh']","['juve', 'kembali', 'ke', 'jalur', 'kemenangan', 'sementara', 'madrid', 'kehilangan', 'puncak', 'klasemen', 'duet', 'arek', 'milik', 'vlahovic', 'tampil', 'colahvlh']",juve kembali ke jalur kemenangan sementara madrid kehilangan puncak klasemen duet arek milik vlahovic tampil colahvlh
33,"Mari ikut mendoakan untuk mereka yang berpulang dalam tragedi Stadion Kanjuruhan kemarin malam.

Jangan lagi ada ke… https://t.co/GRAZ953pG3",mari ikut mendoakan untuk mereka yang berpulang dalam tragedi stadion kanjuruhan kemarin malam jangan lagi ada ke cograzpg,"['mari', 'ikut', 'mendoakan', 'untuk', 'mereka', 'yang', 'berpulang', 'dalam', 'tragedi', 'stadion', 'kanjuruhan', 'kemarin', 'malam', 'jangan', 'lagi', 'ada', 'ke', 'cograzpg']","['mari', 'ikut', 'mendoakan', 'untuk', 'mereka', 'yang', 'berpulang', 'dalam', 'tragedi', 'stadion', 'kanjuruhan', 'kemarin', 'malam', 'jangan', 'lagi', 'ada', 'ke', 'cograzpg']",mari ikut mendoakan untuk mereka yang berpulang dalam tragedi stadion kanjuruhan kemarin malam jangan lagi ada ke cograzpg
